PropertyID,SquareFeet,Address,BHKNumber,Latitude,Longitude,PriceInLakhs,AgentID
P1,1300.236407,"Ksfc Layout,Bangalore",2,12.96991,77.59796,55,Anonymous_agent
P2,1275,"Vishweshwara Nagar,Mysore",2,12.274538,76.644605,51,Anonymous_agent
P3,933.1597222,"Jigani,Bangalore",2,12.778033,77.632191,43,Anonymous_agent
P4,929.9211427,"Sector-1 Vaishali,Ghaziabad",2,28.6423,77.3445,62.5,Anonymous_agent
P5,999.009247,"New Town,Kolkata",2,22.5922,88.484911,60.5,Anonymous_agent
P6,1250,"South Chittoor,Kochi",3,10.03328,76.282571,42,Anonymous_agent
P7,1495.053957,"Sodala,Jaipur",3,26.916347,75.7956,66.5,Anonymous_agent
P8,1181.012946,"Kharar,Mohali",3,30.74,76.65,52,Anonymous_agent
P9,1040,"Bileshivale,Bangalore",2,13.054202,77.674002,41.6,Anonymous_agent
P10,879.1208791,"Chromepet,Chennai",2,12.95161,80.14097,36,Anonymous_agent
P11,1350.308642,"Deshbandhu Para,Siliguri",3,26.724219,88.326357,35,Anonymous_agent
P12,1333.010179,"Hebbal,Bangalore",2,13.04034,77.591347,110,Anonymous_agent
P13,1122.171946,"Sector-119 Noida,Noida",2,28.587711,77.403123,62,Anonymous_agent
P14,649.9837504,"sanjay nagar,Raigad",1,13.0352,77.5772,20,Anonymous_agent
P15,1394.117647,"Sector-150 Noida,Noida",3,28.429614,77.481711,71.1,Anonymous_agent
P16,1800.08471,"Jharapada,Bhubaneswar",3,20.275267,85.862407,85,Anonymous_agent
P17,2124.896706,"Konanakunte,Bangalore",3,12.8855,77.5638,180,Anonymous_agent
P18,1100,"Nagpur Road,Wardha",2,21.15389,79.08306,22,Anonymous_agent
P19,2178.649237,"Kogilu,Bangalore",3,13.092356,77.613468,120,Anonymous_agent
P20,881.1435285,"Poonamallee,Chennai",2,13.05,80.11,45,Anonymous_agent
P21,944.8818898,"Undri,Pune",2,18.452663,73.93104,42,Anonymous_agent
P22,1310.147689,"Sector-134 Noida,Noida",3,28.5041,77.381557,55,Anonymous_agent
P23,630.00063,"Bandra (West),Mumbai",1,19.05444,72.84056,300,Anonymous_agent
P24,1219.80971,"Narendra Nagar,Nagpur",2,21.105779,79.078497,50,Anonymous_agent
P25,780.141844,"Kudgat,Kolkata",2,22.54111,88.33778,27.5,Anonymous_agent
P26,1600,"Sain Vihar,Ghaziabad",3,28.63601,77.433724,46,Anonymous_agent
P27,1180.412371,"Sector-115 Mohali,Mohali",2,30.712867,76.648557,22.9,Anonymous_agent
P28,1000,"Mohan Asram,Deoghar",2,24.48,86.7,39,Anonymous_agent
P29,1000,"Alwar Bypass Road,Bhiwadi",2,28.2102,76.8606,12.5,Anonymous_agent
P30,1400.107701,"Sector 84 Faridabad,Faridabad",3,28.40473,77.367514,52,Anonymous_agent
P31,1150.146382,"Indra Colony,Jaipur",2,26.586306,74.873234,55,Anonymous_agent
P32,864.0674394,"Thane West,Lalitpur",1,19.18,72.96333,82,Anonymous_agent
P33,857.7861968,"Mulund (West),Maharashtra",2,19.1759,72.9522,240,Anonymous_agent
P34,1174.210077,"Thalambur,Chennai",3,12.852171,80.216826,55,Anonymous_agent
P35,1020.087884,"Wakad,Pune",2,18.5993,73.7625,65,Anonymous_agent
P36,1650.165017,"Vasna,Vadodara",4,22.312063,72.674296,65,Anonymous_agent
P37,1000,"Madhurawada,Visakhapatnam",2,17.815234,83.35818,35,Anonymous_agent
P38,1300.052002,"Vasanthapura,Bangalore",3,12.894088,77.548914,75,Anonymous_agent
P39,40606.19568,"Kanjur Marg (East),Lalitpur",1,24.69028,78.41889,9110,Anonymous_agent
P40,1058.114928,"Sus,Pune",2,18.539812,73.737678,65,Anonymous_agent
P41,400,"Kharadi,Pune",1,18.5438,73.9438,30,Anonymous_agent
P42,1274.924779,"Marol,Mumbai",3,22.803593,83.755013,250,Anonymous_agent
